rank,image_path
5,5_ILSVRC2012_val_00026763.JPEG
231,231_ILSVRC2012_val_00024141.JPEG
703,703_ILSVRC2012_val_00007911.JPEG
1780,1780_ILSVRC2012_val_00014454.JPEG
3007,3007_ILSVRC2012_val_00008630.JPEG
3173,3173_ILSVRC2012_val_00020353.JPEG
3306,3306_ILSVRC2012_val_00002696.JPEG
4146,4146_ILSVRC2012_val_00019970.JPEG
5323,5323_ILSVRC2012_val_00009927.JPEG
5630,5630_ILSVRC2012_val_00026741.JPEG
6853,6853_ILSVRC2012_val_00028541.JPEG
7143,7143_ILSVRC2012_val_00007310.JPEG
7865,7865_ILSVRC2012_val_00031397.JPEG
8278,8278_ILSVRC2012_val_00039954.JPEG
8901,8901_ILSVRC2012_val_00011107.JPEG
9737,9737_ILSVRC2012_val_00001204.JPEG
10645,10645_ILSVRC2012_val_00005371.JPEG
11040,11040_ILSVRC2012_val_00042203.JPEG
11287,11287_ILSVRC2012_val_00041800.JPEG
11798,11798_ILSVRC2012_val_00045916.JPEG
12665,12665_ILSVRC2012_val_00012550.JPEG
12849,12849_ILSVRC2012_val_00021647.JPEG
13470,13470_ILSVRC2012_val_00007275.JPEG
14903,14903_ILSVRC2012_val_00020894.JPEG
15324,15324_ILSVRC2012_val_00020732.JPEG
15986,15986_ILSVRC2012_val_00010190.JPEG
16104,16104_ILSVRC2012_val_00043492.JPEG
17661,17661_ILSVRC2012_val_00039041.JPEG
19895,19895_ILSVRC2012_val_00004636.JPEG
20547,20547_ILSVRC2012_val_00018893.JPEG
20736,20736_ILSVRC2012_val_00043946.JPEG
20892,20892_ILSVRC2012_val_00014274.JPEG
20900,20900_ILSVRC2012_val_00042675.JPEG
21739,21739_ILSVRC2012_val_00034468.JPEG
22164,22164_ILSVRC2012_val_00047638.JPEG
22831,22831_ILSVRC2012_val_00031072.JPEG
25986,25986_ILSVRC2012_val_00008080.JPEG
26984,26984_ILSVRC2012_val_00032833.JPEG
27432,27432_ILSVRC2012_val_00041179.JPEG
27933,27933_ILSVRC2012_val_00038450.JPEG
31302,31302_ILSVRC2012_val_00032860.JPEG
31558,31558_ILSVRC2012_val_00014242.JPEG
31725,31725_ILSVRC2012_val_00022635.JPEG
32094,32094_ILSVRC2012_val_00000901.JPEG
32869,32869_ILSVRC2012_val_00022760.JPEG
33019,33019_ILSVRC2012_val_00040212.JPEG
33682,33682_ILSVRC2012_val_00036660.JPEG
36145,36145_ILSVRC2012_val_00023545.JPEG
37665,37665_ILSVRC2012_val_00031708.JPEG
47944,47944_ILSVRC2012_val_00040734.JPEG
