rank,image_path
588,588_ILSVRC2012_val_00049496.JPEG
970,970_ILSVRC2012_val_00006548.JPEG
1047,1047_ILSVRC2012_val_00036078.JPEG
1135,1135_ILSVRC2012_val_00006684.JPEG
1638,1638_ILSVRC2012_val_00014085.JPEG
3983,3983_ILSVRC2012_val_00039896.JPEG
4227,4227_ILSVRC2012_val_00008507.JPEG
6018,6018_ILSVRC2012_val_00018794.JPEG
6336,6336_ILSVRC2012_val_00037226.JPEG
6800,6800_ILSVRC2012_val_00000349.JPEG
6960,6960_ILSVRC2012_val_00049386.JPEG
7935,7935_ILSVRC2012_val_00001759.JPEG
9686,9686_ILSVRC2012_val_00020336.JPEG
10386,10386_ILSVRC2012_val_00044800.JPEG
11123,11123_ILSVRC2012_val_00024725.JPEG
12201,12201_ILSVRC2012_val_00001240.JPEG
13545,13545_ILSVRC2012_val_00007435.JPEG
13682,13682_ILSVRC2012_val_00001657.JPEG
13683,13683_ILSVRC2012_val_00020067.JPEG
14106,14106_ILSVRC2012_val_00034139.JPEG
14853,14853_ILSVRC2012_val_00021243.JPEG
15059,15059_ILSVRC2012_val_00006016.JPEG
15184,15184_ILSVRC2012_val_00030372.JPEG
15860,15860_ILSVRC2012_val_00028589.JPEG
17003,17003_ILSVRC2012_val_00009726.JPEG
20034,20034_ILSVRC2012_val_00022299.JPEG
20349,20349_ILSVRC2012_val_00021185.JPEG
22966,22966_ILSVRC2012_val_00017426.JPEG
22975,22975_ILSVRC2012_val_00035970.JPEG
23010,23010_ILSVRC2012_val_00027085.JPEG
24304,24304_ILSVRC2012_val_00006163.JPEG
25202,25202_ILSVRC2012_val_00017098.JPEG
26071,26071_ILSVRC2012_val_00031810.JPEG
27285,27285_ILSVRC2012_val_00041765.JPEG
27646,27646_ILSVRC2012_val_00011226.JPEG
28339,28339_ILSVRC2012_val_00017960.JPEG
28386,28386_ILSVRC2012_val_00003126.JPEG
29322,29322_ILSVRC2012_val_00034385.JPEG
29762,29762_ILSVRC2012_val_00018256.JPEG
30182,30182_ILSVRC2012_val_00003535.JPEG
31346,31346_ILSVRC2012_val_00034106.JPEG
31750,31750_ILSVRC2012_val_00039856.JPEG
32486,32486_ILSVRC2012_val_00004080.JPEG
32605,32605_ILSVRC2012_val_00021261.JPEG
33244,33244_ILSVRC2012_val_00002793.JPEG
33286,33286_ILSVRC2012_val_00020712.JPEG
34916,34916_ILSVRC2012_val_00037405.JPEG
36168,36168_ILSVRC2012_val_00032999.JPEG
36977,36977_ILSVRC2012_val_00021578.JPEG
40139,40139_ILSVRC2012_val_00038422.JPEG
