rank,image_path
289,289_ILSVRC2012_val_00024091.JPEG
1385,1385_ILSVRC2012_val_00005748.JPEG
1866,1866_ILSVRC2012_val_00032945.JPEG
6633,6633_ILSVRC2012_val_00039889.JPEG
9550,9550_ILSVRC2012_val_00025731.JPEG
17649,17649_ILSVRC2012_val_00019297.JPEG
18328,18328_ILSVRC2012_val_00048518.JPEG
19118,19118_ILSVRC2012_val_00031454.JPEG
20040,20040_ILSVRC2012_val_00026971.JPEG
20456,20456_ILSVRC2012_val_00029548.JPEG
20872,20872_ILSVRC2012_val_00030689.JPEG
20911,20911_ILSVRC2012_val_00026407.JPEG
21530,21530_ILSVRC2012_val_00005320.JPEG
22611,22611_ILSVRC2012_val_00016122.JPEG
24178,24178_ILSVRC2012_val_00048276.JPEG
24228,24228_ILSVRC2012_val_00043679.JPEG
24396,24396_ILSVRC2012_val_00040912.JPEG
24558,24558_ILSVRC2012_val_00017482.JPEG
24858,24858_ILSVRC2012_val_00013458.JPEG
25396,25396_ILSVRC2012_val_00037236.JPEG
26413,26413_ILSVRC2012_val_00022366.JPEG
26760,26760_ILSVRC2012_val_00041663.JPEG
27336,27336_ILSVRC2012_val_00006177.JPEG
28186,28186_ILSVRC2012_val_00044762.JPEG
29079,29079_ILSVRC2012_val_00040086.JPEG
29402,29402_ILSVRC2012_val_00042618.JPEG
29419,29419_ILSVRC2012_val_00007723.JPEG
29633,29633_ILSVRC2012_val_00029040.JPEG
30617,30617_ILSVRC2012_val_00036939.JPEG
31661,31661_ILSVRC2012_val_00001388.JPEG
32101,32101_ILSVRC2012_val_00013796.JPEG
32828,32828_ILSVRC2012_val_00025090.JPEG
33684,33684_ILSVRC2012_val_00024578.JPEG
35159,35159_ILSVRC2012_val_00040063.JPEG
36656,36656_ILSVRC2012_val_00042609.JPEG
37031,37031_ILSVRC2012_val_00020163.JPEG
39555,39555_ILSVRC2012_val_00045883.JPEG
40751,40751_ILSVRC2012_val_00025776.JPEG
40760,40760_ILSVRC2012_val_00019936.JPEG
41451,41451_ILSVRC2012_val_00039881.JPEG
42484,42484_ILSVRC2012_val_00049294.JPEG
43449,43449_ILSVRC2012_val_00002591.JPEG
43924,43924_ILSVRC2012_val_00003652.JPEG
45971,45971_ILSVRC2012_val_00031263.JPEG
46045,46045_ILSVRC2012_val_00025553.JPEG
46216,46216_ILSVRC2012_val_00030103.JPEG
47319,47319_ILSVRC2012_val_00003686.JPEG
47838,47838_ILSVRC2012_val_00006930.JPEG
48421,48421_ILSVRC2012_val_00038146.JPEG
49848,49848_ILSVRC2012_val_00021174.JPEG
