rank,image_path
461,461_ILSVRC2012_val_00001740.JPEG
1181,1181_ILSVRC2012_val_00001161.JPEG
1966,1966_ILSVRC2012_val_00048358.JPEG
2807,2807_ILSVRC2012_val_00049508.JPEG
5055,5055_ILSVRC2012_val_00026260.JPEG
5545,5545_ILSVRC2012_val_00046544.JPEG
5619,5619_ILSVRC2012_val_00035040.JPEG
5750,5750_ILSVRC2012_val_00021973.JPEG
5799,5799_ILSVRC2012_val_00048546.JPEG
7046,7046_ILSVRC2012_val_00011730.JPEG
8288,8288_ILSVRC2012_val_00044117.JPEG
9360,9360_ILSVRC2012_val_00030782.JPEG
9798,9798_ILSVRC2012_val_00005011.JPEG
10892,10892_ILSVRC2012_val_00027930.JPEG
11059,11059_ILSVRC2012_val_00012640.JPEG
11732,11732_ILSVRC2012_val_00007644.JPEG
12905,12905_ILSVRC2012_val_00042188.JPEG
13281,13281_ILSVRC2012_val_00014059.JPEG
13642,13642_ILSVRC2012_val_00010703.JPEG
13787,13787_ILSVRC2012_val_00023403.JPEG
14220,14220_ILSVRC2012_val_00007244.JPEG
15619,15619_ILSVRC2012_val_00022804.JPEG
16365,16365_ILSVRC2012_val_00010430.JPEG
16470,16470_ILSVRC2012_val_00029527.JPEG
17788,17788_ILSVRC2012_val_00025161.JPEG
18308,18308_ILSVRC2012_val_00004810.JPEG
19049,19049_ILSVRC2012_val_00018447.JPEG
19998,19998_ILSVRC2012_val_00014948.JPEG
20655,20655_ILSVRC2012_val_00032690.JPEG
20692,20692_ILSVRC2012_val_00017888.JPEG
21042,21042_ILSVRC2012_val_00021742.JPEG
21839,21839_ILSVRC2012_val_00032937.JPEG
22249,22249_ILSVRC2012_val_00045028.JPEG
23000,23000_ILSVRC2012_val_00042968.JPEG
23016,23016_ILSVRC2012_val_00015004.JPEG
23989,23989_ILSVRC2012_val_00043732.JPEG
24916,24916_ILSVRC2012_val_00043929.JPEG
25188,25188_ILSVRC2012_val_00014590.JPEG
25197,25197_ILSVRC2012_val_00027582.JPEG
27461,27461_ILSVRC2012_val_00001499.JPEG
27579,27579_ILSVRC2012_val_00017129.JPEG
27807,27807_ILSVRC2012_val_00024247.JPEG
28579,28579_ILSVRC2012_val_00018772.JPEG
36417,36417_ILSVRC2012_val_00049576.JPEG
38946,38946_ILSVRC2012_val_00045998.JPEG
41367,41367_ILSVRC2012_val_00016273.JPEG
42728,42728_ILSVRC2012_val_00001748.JPEG
42993,42993_ILSVRC2012_val_00004153.JPEG
44755,44755_ILSVRC2012_val_00003995.JPEG
45590,45590_ILSVRC2012_val_00003537.JPEG
