rank,image_path
186,186_ILSVRC2012_val_00001301.JPEG
1154,1154_ILSVRC2012_val_00038508.JPEG
1202,1202_ILSVRC2012_val_00048479.JPEG
1234,1234_ILSVRC2012_val_00007826.JPEG
2304,2304_ILSVRC2012_val_00003599.JPEG
2407,2407_ILSVRC2012_val_00038885.JPEG
2682,2682_ILSVRC2012_val_00045560.JPEG
3889,3889_ILSVRC2012_val_00020437.JPEG
4068,4068_ILSVRC2012_val_00018868.JPEG
5147,5147_ILSVRC2012_val_00010581.JPEG
5915,5915_ILSVRC2012_val_00024811.JPEG
6386,6386_ILSVRC2012_val_00046166.JPEG
6476,6476_ILSVRC2012_val_00026477.JPEG
7238,7238_ILSVRC2012_val_00048686.JPEG
9279,9279_ILSVRC2012_val_00047906.JPEG
9409,9409_ILSVRC2012_val_00003156.JPEG
10022,10022_ILSVRC2012_val_00031692.JPEG
10464,10464_ILSVRC2012_val_00037088.JPEG
11375,11375_ILSVRC2012_val_00045265.JPEG
11872,11872_ILSVRC2012_val_00025265.JPEG
11918,11918_ILSVRC2012_val_00032215.JPEG
11945,11945_ILSVRC2012_val_00026883.JPEG
11964,11964_ILSVRC2012_val_00033557.JPEG
12060,12060_ILSVRC2012_val_00006106.JPEG
12314,12314_ILSVRC2012_val_00044347.JPEG
12463,12463_ILSVRC2012_val_00002710.JPEG
12675,12675_ILSVRC2012_val_00015943.JPEG
13244,13244_ILSVRC2012_val_00040994.JPEG
14795,14795_ILSVRC2012_val_00034023.JPEG
15087,15087_ILSVRC2012_val_00022127.JPEG
15457,15457_ILSVRC2012_val_00033041.JPEG
16845,16845_ILSVRC2012_val_00024627.JPEG
17393,17393_ILSVRC2012_val_00038189.JPEG
18655,18655_ILSVRC2012_val_00003573.JPEG
20436,20436_ILSVRC2012_val_00021247.JPEG
20481,20481_ILSVRC2012_val_00043296.JPEG
20528,20528_ILSVRC2012_val_00048487.JPEG
21082,21082_ILSVRC2012_val_00002603.JPEG
21448,21448_ILSVRC2012_val_00044835.JPEG
22080,22080_ILSVRC2012_val_00035889.JPEG
22210,22210_ILSVRC2012_val_00000544.JPEG
22364,22364_ILSVRC2012_val_00037349.JPEG
23329,23329_ILSVRC2012_val_00028485.JPEG
23467,23467_ILSVRC2012_val_00026285.JPEG
24093,24093_ILSVRC2012_val_00024134.JPEG
27513,27513_ILSVRC2012_val_00038429.JPEG
28949,28949_ILSVRC2012_val_00023508.JPEG
36328,36328_ILSVRC2012_val_00021734.JPEG
37836,37836_ILSVRC2012_val_00008744.JPEG
39265,39265_ILSVRC2012_val_00018384.JPEG
