rank,image_path
11713,11713_ILSVRC2012_val_00001174.JPEG
13255,13255_ILSVRC2012_val_00025452.JPEG
15016,15016_ILSVRC2012_val_00044780.JPEG
15683,15683_ILSVRC2012_val_00048543.JPEG
18573,18573_ILSVRC2012_val_00029749.JPEG
18643,18643_ILSVRC2012_val_00008423.JPEG
19719,19719_ILSVRC2012_val_00049006.JPEG
19987,19987_ILSVRC2012_val_00047861.JPEG
22985,22985_ILSVRC2012_val_00042091.JPEG
23031,23031_ILSVRC2012_val_00014070.JPEG
26298,26298_ILSVRC2012_val_00041907.JPEG
27112,27112_ILSVRC2012_val_00030581.JPEG
28354,28354_ILSVRC2012_val_00046914.JPEG
29203,29203_ILSVRC2012_val_00039646.JPEG
29968,29968_ILSVRC2012_val_00030182.JPEG
30069,30069_ILSVRC2012_val_00046493.JPEG
30590,30590_ILSVRC2012_val_00009284.JPEG
31158,31158_ILSVRC2012_val_00045020.JPEG
34197,34197_ILSVRC2012_val_00045078.JPEG
35358,35358_ILSVRC2012_val_00016412.JPEG
35368,35368_ILSVRC2012_val_00030801.JPEG
36056,36056_ILSVRC2012_val_00045303.JPEG
36862,36862_ILSVRC2012_val_00014916.JPEG
37304,37304_ILSVRC2012_val_00023064.JPEG
37789,37789_ILSVRC2012_val_00033191.JPEG
38187,38187_ILSVRC2012_val_00014185.JPEG
38342,38342_ILSVRC2012_val_00014803.JPEG
38511,38511_ILSVRC2012_val_00033864.JPEG
38908,38908_ILSVRC2012_val_00026210.JPEG
39610,39610_ILSVRC2012_val_00011852.JPEG
39636,39636_ILSVRC2012_val_00036250.JPEG
39934,39934_ILSVRC2012_val_00049251.JPEG
40099,40099_ILSVRC2012_val_00010670.JPEG
40460,40460_ILSVRC2012_val_00016797.JPEG
40466,40466_ILSVRC2012_val_00017468.JPEG
41197,41197_ILSVRC2012_val_00027059.JPEG
41897,41897_ILSVRC2012_val_00000205.JPEG
42139,42139_ILSVRC2012_val_00009101.JPEG
42418,42418_ILSVRC2012_val_00010115.JPEG
42813,42813_ILSVRC2012_val_00044740.JPEG
43788,43788_ILSVRC2012_val_00001312.JPEG
44181,44181_ILSVRC2012_val_00049277.JPEG
44601,44601_ILSVRC2012_val_00027327.JPEG
44686,44686_ILSVRC2012_val_00019610.JPEG
46163,46163_ILSVRC2012_val_00001353.JPEG
46851,46851_ILSVRC2012_val_00043536.JPEG
47492,47492_ILSVRC2012_val_00028865.JPEG
47760,47760_ILSVRC2012_val_00028834.JPEG
48565,48565_ILSVRC2012_val_00046177.JPEG
49187,49187_ILSVRC2012_val_00042736.JPEG
