rank,image_path
1518,1518_ILSVRC2012_val_00049025.JPEG
6612,6612_ILSVRC2012_val_00045630.JPEG
7127,7127_ILSVRC2012_val_00003100.JPEG
9589,9589_ILSVRC2012_val_00049771.JPEG
10095,10095_ILSVRC2012_val_00002541.JPEG
18517,18517_ILSVRC2012_val_00049312.JPEG
18997,18997_ILSVRC2012_val_00000583.JPEG
19125,19125_ILSVRC2012_val_00036353.JPEG
19308,19308_ILSVRC2012_val_00019882.JPEG
21515,21515_ILSVRC2012_val_00013401.JPEG
21574,21574_ILSVRC2012_val_00023728.JPEG
22049,22049_ILSVRC2012_val_00032507.JPEG
23513,23513_ILSVRC2012_val_00023402.JPEG
24230,24230_ILSVRC2012_val_00049264.JPEG
24821,24821_ILSVRC2012_val_00022620.JPEG
26243,26243_ILSVRC2012_val_00008591.JPEG
29726,29726_ILSVRC2012_val_00022962.JPEG
33177,33177_ILSVRC2012_val_00048684.JPEG
33622,33622_ILSVRC2012_val_00003533.JPEG
33845,33845_ILSVRC2012_val_00031134.JPEG
35596,35596_ILSVRC2012_val_00046726.JPEG
35605,35605_ILSVRC2012_val_00007191.JPEG
36534,36534_ILSVRC2012_val_00026024.JPEG
36718,36718_ILSVRC2012_val_00011479.JPEG
36776,36776_ILSVRC2012_val_00031712.JPEG
36959,36959_ILSVRC2012_val_00023302.JPEG
38107,38107_ILSVRC2012_val_00040799.JPEG
38233,38233_ILSVRC2012_val_00039028.JPEG
39196,39196_ILSVRC2012_val_00018801.JPEG
39449,39449_ILSVRC2012_val_00000380.JPEG
39573,39573_ILSVRC2012_val_00037945.JPEG
40720,40720_ILSVRC2012_val_00038098.JPEG
41336,41336_ILSVRC2012_val_00024042.JPEG
42128,42128_ILSVRC2012_val_00022131.JPEG
42603,42603_ILSVRC2012_val_00044242.JPEG
42706,42706_ILSVRC2012_val_00030307.JPEG
42911,42911_ILSVRC2012_val_00032076.JPEG
42931,42931_ILSVRC2012_val_00035307.JPEG
43639,43639_ILSVRC2012_val_00009555.JPEG
43751,43751_ILSVRC2012_val_00029159.JPEG
43808,43808_ILSVRC2012_val_00034991.JPEG
44313,44313_ILSVRC2012_val_00030610.JPEG
44925,44925_ILSVRC2012_val_00001133.JPEG
45118,45118_ILSVRC2012_val_00033166.JPEG
45543,45543_ILSVRC2012_val_00044549.JPEG
46491,46491_ILSVRC2012_val_00025482.JPEG
47281,47281_ILSVRC2012_val_00020131.JPEG
47299,47299_ILSVRC2012_val_00007902.JPEG
47709,47709_ILSVRC2012_val_00027101.JPEG
48191,48191_ILSVRC2012_val_00006635.JPEG
