rank,image_path
3891,3891_ILSVRC2012_val_00019834.JPEG
14753,14753_ILSVRC2012_val_00036942.JPEG
15425,15425_ILSVRC2012_val_00010593.JPEG
18102,18102_ILSVRC2012_val_00007818.JPEG
19092,19092_ILSVRC2012_val_00011303.JPEG
20218,20218_ILSVRC2012_val_00023255.JPEG
20363,20363_ILSVRC2012_val_00029678.JPEG
24519,24519_ILSVRC2012_val_00023758.JPEG
29128,29128_ILSVRC2012_val_00007437.JPEG
29281,29281_ILSVRC2012_val_00016519.JPEG
30305,30305_ILSVRC2012_val_00013354.JPEG
31035,31035_ILSVRC2012_val_00012231.JPEG
31761,31761_ILSVRC2012_val_00039478.JPEG
32194,32194_ILSVRC2012_val_00028629.JPEG
32504,32504_ILSVRC2012_val_00038446.JPEG
33414,33414_ILSVRC2012_val_00041919.JPEG
34293,34293_ILSVRC2012_val_00043524.JPEG
35418,35418_ILSVRC2012_val_00005768.JPEG
38512,38512_ILSVRC2012_val_00032966.JPEG
38593,38593_ILSVRC2012_val_00044993.JPEG
38884,38884_ILSVRC2012_val_00021211.JPEG
38997,38997_ILSVRC2012_val_00047623.JPEG
39279,39279_ILSVRC2012_val_00040420.JPEG
39997,39997_ILSVRC2012_val_00016934.JPEG
40204,40204_ILSVRC2012_val_00049316.JPEG
41904,41904_ILSVRC2012_val_00039996.JPEG
42175,42175_ILSVRC2012_val_00030478.JPEG
42212,42212_ILSVRC2012_val_00036722.JPEG
42532,42532_ILSVRC2012_val_00033769.JPEG
42852,42852_ILSVRC2012_val_00024102.JPEG
42974,42974_ILSVRC2012_val_00044262.JPEG
43017,43017_ILSVRC2012_val_00035658.JPEG
43042,43042_ILSVRC2012_val_00021776.JPEG
43922,43922_ILSVRC2012_val_00006830.JPEG
45136,45136_ILSVRC2012_val_00028673.JPEG
45472,45472_ILSVRC2012_val_00049287.JPEG
45524,45524_ILSVRC2012_val_00005532.JPEG
46060,46060_ILSVRC2012_val_00011724.JPEG
46665,46665_ILSVRC2012_val_00024428.JPEG
46792,46792_ILSVRC2012_val_00018879.JPEG
47105,47105_ILSVRC2012_val_00047716.JPEG
47131,47131_ILSVRC2012_val_00001938.JPEG
47669,47669_ILSVRC2012_val_00030622.JPEG
47905,47905_ILSVRC2012_val_00020180.JPEG
48026,48026_ILSVRC2012_val_00000037.JPEG
48268,48268_ILSVRC2012_val_00005450.JPEG
49470,49470_ILSVRC2012_val_00032415.JPEG
49655,49655_ILSVRC2012_val_00004724.JPEG
49696,49696_ILSVRC2012_val_00004427.JPEG
49799,49799_ILSVRC2012_val_00044288.JPEG
