rank,image_path
1343,1343_ILSVRC2012_val_00030456.JPEG
1701,1701_ILSVRC2012_val_00010007.JPEG
2367,2367_ILSVRC2012_val_00036633.JPEG
4548,4548_ILSVRC2012_val_00046874.JPEG
5752,5752_ILSVRC2012_val_00042122.JPEG
7386,7386_ILSVRC2012_val_00025320.JPEG
8249,8249_ILSVRC2012_val_00014027.JPEG
9830,9830_ILSVRC2012_val_00039527.JPEG
10011,10011_ILSVRC2012_val_00023083.JPEG
11881,11881_ILSVRC2012_val_00030185.JPEG
12742,12742_ILSVRC2012_val_00036482.JPEG
14047,14047_ILSVRC2012_val_00013980.JPEG
15018,15018_ILSVRC2012_val_00044151.JPEG
15636,15636_ILSVRC2012_val_00035338.JPEG
16728,16728_ILSVRC2012_val_00009038.JPEG
16832,16832_ILSVRC2012_val_00047322.JPEG
17005,17005_ILSVRC2012_val_00044572.JPEG
17400,17400_ILSVRC2012_val_00043115.JPEG
17546,17546_ILSVRC2012_val_00032028.JPEG
20270,20270_ILSVRC2012_val_00003052.JPEG
20321,20321_ILSVRC2012_val_00011341.JPEG
20428,20428_ILSVRC2012_val_00011182.JPEG
21132,21132_ILSVRC2012_val_00047072.JPEG
22789,22789_ILSVRC2012_val_00046161.JPEG
26106,26106_ILSVRC2012_val_00023374.JPEG
30234,30234_ILSVRC2012_val_00041828.JPEG
30483,30483_ILSVRC2012_val_00026002.JPEG
31192,31192_ILSVRC2012_val_00038609.JPEG
31285,31285_ILSVRC2012_val_00027942.JPEG
33693,33693_ILSVRC2012_val_00020705.JPEG
33694,33694_ILSVRC2012_val_00013128.JPEG
34177,34177_ILSVRC2012_val_00046188.JPEG
35866,35866_ILSVRC2012_val_00002820.JPEG
36298,36298_ILSVRC2012_val_00010349.JPEG
37654,37654_ILSVRC2012_val_00004237.JPEG
38109,38109_ILSVRC2012_val_00022060.JPEG
39681,39681_ILSVRC2012_val_00006890.JPEG
41505,41505_ILSVRC2012_val_00019583.JPEG
42449,42449_ILSVRC2012_val_00039405.JPEG
42963,42963_ILSVRC2012_val_00001263.JPEG
43002,43002_ILSVRC2012_val_00019979.JPEG
43727,43727_ILSVRC2012_val_00046808.JPEG
44367,44367_ILSVRC2012_val_00036153.JPEG
45238,45238_ILSVRC2012_val_00026989.JPEG
45458,45458_ILSVRC2012_val_00023632.JPEG
46552,46552_ILSVRC2012_val_00006762.JPEG
47242,47242_ILSVRC2012_val_00020988.JPEG
47326,47326_ILSVRC2012_val_00005959.JPEG
48639,48639_ILSVRC2012_val_00027251.JPEG
48881,48881_ILSVRC2012_val_00024959.JPEG
