rank,image_path
481,481_ILSVRC2012_val_00036354.JPEG
1260,1260_ILSVRC2012_val_00000952.JPEG
1407,1407_ILSVRC2012_val_00023371.JPEG
1446,1446_ILSVRC2012_val_00049553.JPEG
1509,1509_ILSVRC2012_val_00048203.JPEG
1892,1892_ILSVRC2012_val_00034194.JPEG
2253,2253_ILSVRC2012_val_00025631.JPEG
2356,2356_ILSVRC2012_val_00012601.JPEG
4281,4281_ILSVRC2012_val_00046755.JPEG
4368,4368_ILSVRC2012_val_00003271.JPEG
4914,4914_ILSVRC2012_val_00031298.JPEG
5154,5154_ILSVRC2012_val_00006460.JPEG
5167,5167_ILSVRC2012_val_00011011.JPEG
5272,5272_ILSVRC2012_val_00030702.JPEG
5278,5278_ILSVRC2012_val_00005901.JPEG
5706,5706_ILSVRC2012_val_00011375.JPEG
6837,6837_ILSVRC2012_val_00023390.JPEG
7333,7333_ILSVRC2012_val_00030629.JPEG
7370,7370_ILSVRC2012_val_00043509.JPEG
8328,8328_ILSVRC2012_val_00015673.JPEG
8646,8646_ILSVRC2012_val_00008549.JPEG
8813,8813_ILSVRC2012_val_00024525.JPEG
9374,9374_ILSVRC2012_val_00018780.JPEG
9801,9801_ILSVRC2012_val_00014068.JPEG
11845,11845_ILSVRC2012_val_00015298.JPEG
11960,11960_ILSVRC2012_val_00037244.JPEG
12074,12074_ILSVRC2012_val_00049093.JPEG
12258,12258_ILSVRC2012_val_00029948.JPEG
13036,13036_ILSVRC2012_val_00024063.JPEG
13378,13378_ILSVRC2012_val_00009145.JPEG
14371,14371_ILSVRC2012_val_00030000.JPEG
18257,18257_ILSVRC2012_val_00046438.JPEG
18440,18440_ILSVRC2012_val_00025785.JPEG
19836,19836_ILSVRC2012_val_00001158.JPEG
19889,19889_ILSVRC2012_val_00020909.JPEG
20461,20461_ILSVRC2012_val_00032158.JPEG
20516,20516_ILSVRC2012_val_00027602.JPEG
22806,22806_ILSVRC2012_val_00018463.JPEG
24058,24058_ILSVRC2012_val_00032492.JPEG
24365,24365_ILSVRC2012_val_00020749.JPEG
26374,26374_ILSVRC2012_val_00025371.JPEG
29455,29455_ILSVRC2012_val_00009974.JPEG
30581,30581_ILSVRC2012_val_00024423.JPEG
30910,30910_ILSVRC2012_val_00035274.JPEG
31842,31842_ILSVRC2012_val_00019884.JPEG
32041,32041_ILSVRC2012_val_00024848.JPEG
42862,42862_ILSVRC2012_val_00032122.JPEG
43247,43247_ILSVRC2012_val_00038685.JPEG
45223,45223_ILSVRC2012_val_00029589.JPEG
48127,48127_ILSVRC2012_val_00040051.JPEG
