rank,image_path
485,485_ILSVRC2012_val_00042052.JPEG
6052,6052_ILSVRC2012_val_00015283.JPEG
6176,6176_ILSVRC2012_val_00009017.JPEG
8749,8749_ILSVRC2012_val_00041731.JPEG
9760,9760_ILSVRC2012_val_00049028.JPEG
10075,10075_ILSVRC2012_val_00012993.JPEG
10228,10228_ILSVRC2012_val_00002455.JPEG
13582,13582_ILSVRC2012_val_00037374.JPEG
15170,15170_ILSVRC2012_val_00036322.JPEG
16020,16020_ILSVRC2012_val_00022346.JPEG
16288,16288_ILSVRC2012_val_00005584.JPEG
17530,17530_ILSVRC2012_val_00049564.JPEG
17778,17778_ILSVRC2012_val_00001547.JPEG
18995,18995_ILSVRC2012_val_00044667.JPEG
20909,20909_ILSVRC2012_val_00000103.JPEG
22840,22840_ILSVRC2012_val_00024709.JPEG
23570,23570_ILSVRC2012_val_00008473.JPEG
23732,23732_ILSVRC2012_val_00042551.JPEG
24264,24264_ILSVRC2012_val_00033169.JPEG
24822,24822_ILSVRC2012_val_00048712.JPEG
25096,25096_ILSVRC2012_val_00043853.JPEG
25938,25938_ILSVRC2012_val_00042037.JPEG
26056,26056_ILSVRC2012_val_00044164.JPEG
26152,26152_ILSVRC2012_val_00012918.JPEG
26449,26449_ILSVRC2012_val_00022298.JPEG
27752,27752_ILSVRC2012_val_00025643.JPEG
28807,28807_ILSVRC2012_val_00038787.JPEG
30409,30409_ILSVRC2012_val_00039923.JPEG
31526,31526_ILSVRC2012_val_00049256.JPEG
33795,33795_ILSVRC2012_val_00011731.JPEG
34020,34020_ILSVRC2012_val_00028886.JPEG
34340,34340_ILSVRC2012_val_00018704.JPEG
34665,34665_ILSVRC2012_val_00049728.JPEG
34686,34686_ILSVRC2012_val_00027718.JPEG
35657,35657_ILSVRC2012_val_00049983.JPEG
37164,37164_ILSVRC2012_val_00003849.JPEG
38296,38296_ILSVRC2012_val_00000059.JPEG
38311,38311_ILSVRC2012_val_00039663.JPEG
38942,38942_ILSVRC2012_val_00011069.JPEG
39465,39465_ILSVRC2012_val_00008143.JPEG
41120,41120_ILSVRC2012_val_00035926.JPEG
41686,41686_ILSVRC2012_val_00000955.JPEG
41878,41878_ILSVRC2012_val_00030643.JPEG
42071,42071_ILSVRC2012_val_00033425.JPEG
43194,43194_ILSVRC2012_val_00017603.JPEG
45996,45996_ILSVRC2012_val_00024877.JPEG
46554,46554_ILSVRC2012_val_00036032.JPEG
47598,47598_ILSVRC2012_val_00009669.JPEG
47966,47966_ILSVRC2012_val_00001409.JPEG
48951,48951_ILSVRC2012_val_00033750.JPEG
