rank,image_path
1856,1856_ILSVRC2012_val_00038979.JPEG
7240,7240_ILSVRC2012_val_00040294.JPEG
7716,7716_ILSVRC2012_val_00047909.JPEG
7913,7913_ILSVRC2012_val_00046556.JPEG
8436,8436_ILSVRC2012_val_00003642.JPEG
8903,8903_ILSVRC2012_val_00000797.JPEG
10046,10046_ILSVRC2012_val_00038777.JPEG
10571,10571_ILSVRC2012_val_00009343.JPEG
10975,10975_ILSVRC2012_val_00030244.JPEG
13350,13350_ILSVRC2012_val_00027972.JPEG
13595,13595_ILSVRC2012_val_00026559.JPEG
14830,14830_ILSVRC2012_val_00019935.JPEG
15238,15238_ILSVRC2012_val_00040911.JPEG
15840,15840_ILSVRC2012_val_00048545.JPEG
17434,17434_ILSVRC2012_val_00030900.JPEG
19814,19814_ILSVRC2012_val_00021533.JPEG
20291,20291_ILSVRC2012_val_00049594.JPEG
20468,20468_ILSVRC2012_val_00011944.JPEG
21262,21262_ILSVRC2012_val_00035714.JPEG
22813,22813_ILSVRC2012_val_00049214.JPEG
23964,23964_ILSVRC2012_val_00045700.JPEG
25566,25566_ILSVRC2012_val_00004323.JPEG
25670,25670_ILSVRC2012_val_00028926.JPEG
25921,25921_ILSVRC2012_val_00044601.JPEG
27871,27871_ILSVRC2012_val_00049512.JPEG
27994,27994_ILSVRC2012_val_00015462.JPEG
28195,28195_ILSVRC2012_val_00007336.JPEG
28320,28320_ILSVRC2012_val_00046566.JPEG
28628,28628_ILSVRC2012_val_00035765.JPEG
28734,28734_ILSVRC2012_val_00042908.JPEG
29505,29505_ILSVRC2012_val_00049359.JPEG
30068,30068_ILSVRC2012_val_00035586.JPEG
30488,30488_ILSVRC2012_val_00034550.JPEG
32612,32612_ILSVRC2012_val_00049401.JPEG
32741,32741_ILSVRC2012_val_00047664.JPEG
33152,33152_ILSVRC2012_val_00021158.JPEG
34188,34188_ILSVRC2012_val_00035737.JPEG
35374,35374_ILSVRC2012_val_00015573.JPEG
37713,37713_ILSVRC2012_val_00035062.JPEG
38940,38940_ILSVRC2012_val_00033831.JPEG
40007,40007_ILSVRC2012_val_00029064.JPEG
40701,40701_ILSVRC2012_val_00039485.JPEG
41582,41582_ILSVRC2012_val_00010093.JPEG
42188,42188_ILSVRC2012_val_00027407.JPEG
42255,42255_ILSVRC2012_val_00042647.JPEG
43008,43008_ILSVRC2012_val_00003817.JPEG
44446,44446_ILSVRC2012_val_00021295.JPEG
45076,45076_ILSVRC2012_val_00016069.JPEG
46871,46871_ILSVRC2012_val_00015750.JPEG
48765,48765_ILSVRC2012_val_00017769.JPEG
