rank,image_path
454,454_ILSVRC2012_val_00037728.JPEG
1456,1456_ILSVRC2012_val_00041318.JPEG
1822,1822_ILSVRC2012_val_00048289.JPEG
1891,1891_ILSVRC2012_val_00045406.JPEG
2145,2145_ILSVRC2012_val_00034886.JPEG
2967,2967_ILSVRC2012_val_00019367.JPEG
3181,3181_ILSVRC2012_val_00023591.JPEG
3647,3647_ILSVRC2012_val_00035827.JPEG
3698,3698_ILSVRC2012_val_00029348.JPEG
4503,4503_ILSVRC2012_val_00016647.JPEG
4618,4618_ILSVRC2012_val_00038937.JPEG
6020,6020_ILSVRC2012_val_00000280.JPEG
7091,7091_ILSVRC2012_val_00002039.JPEG
7337,7337_ILSVRC2012_val_00032300.JPEG
9380,9380_ILSVRC2012_val_00027235.JPEG
10032,10032_ILSVRC2012_val_00025197.JPEG
10828,10828_ILSVRC2012_val_00027354.JPEG
10994,10994_ILSVRC2012_val_00014846.JPEG
10997,10997_ILSVRC2012_val_00009655.JPEG
12102,12102_ILSVRC2012_val_00049921.JPEG
12422,12422_ILSVRC2012_val_00029766.JPEG
15685,15685_ILSVRC2012_val_00042620.JPEG
16242,16242_ILSVRC2012_val_00032346.JPEG
16397,16397_ILSVRC2012_val_00039511.JPEG
17538,17538_ILSVRC2012_val_00028059.JPEG
21702,21702_ILSVRC2012_val_00026818.JPEG
23276,23276_ILSVRC2012_val_00038965.JPEG
23982,23982_ILSVRC2012_val_00017496.JPEG
23997,23997_ILSVRC2012_val_00018909.JPEG
24205,24205_ILSVRC2012_val_00003561.JPEG
31064,31064_ILSVRC2012_val_00026036.JPEG
31439,31439_ILSVRC2012_val_00006551.JPEG
31939,31939_ILSVRC2012_val_00031894.JPEG
32145,32145_ILSVRC2012_val_00049226.JPEG
32173,32173_ILSVRC2012_val_00031732.JPEG
32440,32440_ILSVRC2012_val_00004800.JPEG
32822,32822_ILSVRC2012_val_00019346.JPEG
33534,33534_ILSVRC2012_val_00021128.JPEG
34622,34622_ILSVRC2012_val_00021167.JPEG
36116,36116_ILSVRC2012_val_00014530.JPEG
36134,36134_ILSVRC2012_val_00001704.JPEG
36500,36500_ILSVRC2012_val_00006768.JPEG
38454,38454_ILSVRC2012_val_00002422.JPEG
42016,42016_ILSVRC2012_val_00005491.JPEG
42761,42761_ILSVRC2012_val_00048391.JPEG
43910,43910_ILSVRC2012_val_00010706.JPEG
44978,44978_ILSVRC2012_val_00041902.JPEG
45327,45327_ILSVRC2012_val_00022249.JPEG
46690,46690_ILSVRC2012_val_00013010.JPEG
47743,47743_ILSVRC2012_val_00014173.JPEG
