rank,image_path
427,427_ILSVRC2012_val_00010601.JPEG
693,693_ILSVRC2012_val_00013252.JPEG
2341,2341_ILSVRC2012_val_00010071.JPEG
2371,2371_ILSVRC2012_val_00041767.JPEG
4205,4205_ILSVRC2012_val_00006427.JPEG
4228,4228_ILSVRC2012_val_00029776.JPEG
4458,4458_ILSVRC2012_val_00045445.JPEG
4529,4529_ILSVRC2012_val_00031319.JPEG
5965,5965_ILSVRC2012_val_00041957.JPEG
6559,6559_ILSVRC2012_val_00007108.JPEG
6711,6711_ILSVRC2012_val_00018198.JPEG
7612,7612_ILSVRC2012_val_00021624.JPEG
8817,8817_ILSVRC2012_val_00005454.JPEG
10467,10467_ILSVRC2012_val_00048535.JPEG
12778,12778_ILSVRC2012_val_00003464.JPEG
13471,13471_ILSVRC2012_val_00025011.JPEG
13759,13759_ILSVRC2012_val_00032045.JPEG
14706,14706_ILSVRC2012_val_00002692.JPEG
15230,15230_ILSVRC2012_val_00037214.JPEG
15672,15672_ILSVRC2012_val_00022696.JPEG
15721,15721_ILSVRC2012_val_00006709.JPEG
15918,15918_ILSVRC2012_val_00000552.JPEG
17616,17616_ILSVRC2012_val_00049866.JPEG
17870,17870_ILSVRC2012_val_00033018.JPEG
18490,18490_ILSVRC2012_val_00021810.JPEG
18564,18564_ILSVRC2012_val_00015521.JPEG
18992,18992_ILSVRC2012_val_00001360.JPEG
19024,19024_ILSVRC2012_val_00048372.JPEG
19439,19439_ILSVRC2012_val_00042208.JPEG
19919,19919_ILSVRC2012_val_00015254.JPEG
20345,20345_ILSVRC2012_val_00005913.JPEG
21246,21246_ILSVRC2012_val_00008103.JPEG
22440,22440_ILSVRC2012_val_00037946.JPEG
23905,23905_ILSVRC2012_val_00014354.JPEG
24510,24510_ILSVRC2012_val_00045554.JPEG
24770,24770_ILSVRC2012_val_00047859.JPEG
25455,25455_ILSVRC2012_val_00005951.JPEG
28171,28171_ILSVRC2012_val_00003349.JPEG
31474,31474_ILSVRC2012_val_00000306.JPEG
31628,31628_ILSVRC2012_val_00009898.JPEG
33643,33643_ILSVRC2012_val_00003801.JPEG
34394,34394_ILSVRC2012_val_00001248.JPEG
34446,34446_ILSVRC2012_val_00040331.JPEG
36234,36234_ILSVRC2012_val_00000456.JPEG
38030,38030_ILSVRC2012_val_00020008.JPEG
41025,41025_ILSVRC2012_val_00040531.JPEG
41632,41632_ILSVRC2012_val_00037147.JPEG
42925,42925_ILSVRC2012_val_00002726.JPEG
44534,44534_ILSVRC2012_val_00013548.JPEG
48869,48869_ILSVRC2012_val_00042379.JPEG
