rank,image_path
429,429_ILSVRC2012_val_00040903.JPEG
877,877_ILSVRC2012_val_00017028.JPEG
1354,1354_ILSVRC2012_val_00023895.JPEG
1588,1588_ILSVRC2012_val_00047121.JPEG
1911,1911_ILSVRC2012_val_00043566.JPEG
3212,3212_ILSVRC2012_val_00008495.JPEG
3436,3436_ILSVRC2012_val_00024643.JPEG
3610,3610_ILSVRC2012_val_00024059.JPEG
3671,3671_ILSVRC2012_val_00010880.JPEG
3861,3861_ILSVRC2012_val_00000962.JPEG
3894,3894_ILSVRC2012_val_00047626.JPEG
3990,3990_ILSVRC2012_val_00028181.JPEG
4498,4498_ILSVRC2012_val_00015264.JPEG
4893,4893_ILSVRC2012_val_00016909.JPEG
5289,5289_ILSVRC2012_val_00036819.JPEG
5705,5705_ILSVRC2012_val_00047732.JPEG
5733,5733_ILSVRC2012_val_00025524.JPEG
5818,5818_ILSVRC2012_val_00002872.JPEG
6449,6449_ILSVRC2012_val_00025214.JPEG
6532,6532_ILSVRC2012_val_00048552.JPEG
7833,7833_ILSVRC2012_val_00020349.JPEG
8515,8515_ILSVRC2012_val_00020730.JPEG
8573,8573_ILSVRC2012_val_00008816.JPEG
10518,10518_ILSVRC2012_val_00006907.JPEG
11648,11648_ILSVRC2012_val_00045581.JPEG
11777,11777_ILSVRC2012_val_00013955.JPEG
11824,11824_ILSVRC2012_val_00013223.JPEG
12011,12011_ILSVRC2012_val_00031973.JPEG
12310,12310_ILSVRC2012_val_00011519.JPEG
12956,12956_ILSVRC2012_val_00019034.JPEG
13025,13025_ILSVRC2012_val_00005576.JPEG
14387,14387_ILSVRC2012_val_00009401.JPEG
14983,14983_ILSVRC2012_val_00049669.JPEG
15782,15782_ILSVRC2012_val_00008510.JPEG
18845,18845_ILSVRC2012_val_00033770.JPEG
19817,19817_ILSVRC2012_val_00029430.JPEG
25933,25933_ILSVRC2012_val_00039648.JPEG
29460,29460_ILSVRC2012_val_00022972.JPEG
30203,30203_ILSVRC2012_val_00045873.JPEG
30237,30237_ILSVRC2012_val_00028099.JPEG
31652,31652_ILSVRC2012_val_00015922.JPEG
32458,32458_ILSVRC2012_val_00014673.JPEG
32760,32760_ILSVRC2012_val_00034929.JPEG
37250,37250_ILSVRC2012_val_00030011.JPEG
43510,43510_ILSVRC2012_val_00049775.JPEG
43672,43672_ILSVRC2012_val_00009597.JPEG
45782,45782_ILSVRC2012_val_00012797.JPEG
47189,47189_ILSVRC2012_val_00021656.JPEG
49298,49298_ILSVRC2012_val_00026023.JPEG
49338,49338_ILSVRC2012_val_00038159.JPEG
