rank,image_path
415,415_ILSVRC2012_val_00017740.JPEG
459,459_ILSVRC2012_val_00022114.JPEG
631,631_ILSVRC2012_val_00045546.JPEG
697,697_ILSVRC2012_val_00008516.JPEG
1063,1063_ILSVRC2012_val_00040413.JPEG
1137,1137_ILSVRC2012_val_00038492.JPEG
2248,2248_ILSVRC2012_val_00026544.JPEG
2342,2342_ILSVRC2012_val_00008262.JPEG
2615,2615_ILSVRC2012_val_00034607.JPEG
3465,3465_ILSVRC2012_val_00003720.JPEG
3783,3783_ILSVRC2012_val_00037598.JPEG
4283,4283_ILSVRC2012_val_00046896.JPEG
4332,4332_ILSVRC2012_val_00009368.JPEG
4919,4919_ILSVRC2012_val_00001396.JPEG
5701,5701_ILSVRC2012_val_00031344.JPEG
6006,6006_ILSVRC2012_val_00013721.JPEG
6281,6281_ILSVRC2012_val_00035672.JPEG
7070,7070_ILSVRC2012_val_00018429.JPEG
7564,7564_ILSVRC2012_val_00028287.JPEG
9623,9623_ILSVRC2012_val_00044133.JPEG
10171,10171_ILSVRC2012_val_00016099.JPEG
10214,10214_ILSVRC2012_val_00012068.JPEG
10793,10793_ILSVRC2012_val_00030198.JPEG
11241,11241_ILSVRC2012_val_00019037.JPEG
11723,11723_ILSVRC2012_val_00003371.JPEG
11830,11830_ILSVRC2012_val_00027509.JPEG
12114,12114_ILSVRC2012_val_00038322.JPEG
12367,12367_ILSVRC2012_val_00036311.JPEG
12621,12621_ILSVRC2012_val_00007421.JPEG
13129,13129_ILSVRC2012_val_00033223.JPEG
13145,13145_ILSVRC2012_val_00000830.JPEG
13994,13994_ILSVRC2012_val_00042921.JPEG
15031,15031_ILSVRC2012_val_00005200.JPEG
16152,16152_ILSVRC2012_val_00010553.JPEG
16410,16410_ILSVRC2012_val_00026231.JPEG
17315,17315_ILSVRC2012_val_00030085.JPEG
17889,17889_ILSVRC2012_val_00014905.JPEG
18181,18181_ILSVRC2012_val_00044084.JPEG
20715,20715_ILSVRC2012_val_00037687.JPEG
21625,21625_ILSVRC2012_val_00013443.JPEG
22055,22055_ILSVRC2012_val_00013312.JPEG
24189,24189_ILSVRC2012_val_00007699.JPEG
27265,27265_ILSVRC2012_val_00028582.JPEG
28016,28016_ILSVRC2012_val_00023565.JPEG
29615,29615_ILSVRC2012_val_00022255.JPEG
31222,31222_ILSVRC2012_val_00029011.JPEG
32318,32318_ILSVRC2012_val_00014501.JPEG
32634,32634_ILSVRC2012_val_00031228.JPEG
34961,34961_ILSVRC2012_val_00020836.JPEG
39643,39643_ILSVRC2012_val_00007560.JPEG
