rank,image_path
1346,1346_ILSVRC2012_val_00038245.JPEG
2360,2360_ILSVRC2012_val_00026340.JPEG
2487,2487_ILSVRC2012_val_00018991.JPEG
2808,2808_ILSVRC2012_val_00034136.JPEG
4022,4022_ILSVRC2012_val_00006969.JPEG
4036,4036_ILSVRC2012_val_00011848.JPEG
4046,4046_ILSVRC2012_val_00046533.JPEG
4103,4103_ILSVRC2012_val_00031575.JPEG
4104,4104_ILSVRC2012_val_00034013.JPEG
4278,4278_ILSVRC2012_val_00010084.JPEG
5377,5377_ILSVRC2012_val_00008287.JPEG
5419,5419_ILSVRC2012_val_00008411.JPEG
6040,6040_ILSVRC2012_val_00010539.JPEG
6043,6043_ILSVRC2012_val_00027926.JPEG
6101,6101_ILSVRC2012_val_00035528.JPEG
7534,7534_ILSVRC2012_val_00041881.JPEG
7906,7906_ILSVRC2012_val_00010740.JPEG
8275,8275_ILSVRC2012_val_00026139.JPEG
8896,8896_ILSVRC2012_val_00001277.JPEG
9168,9168_ILSVRC2012_val_00031332.JPEG
9420,9420_ILSVRC2012_val_00034176.JPEG
10058,10058_ILSVRC2012_val_00043181.JPEG
10360,10360_ILSVRC2012_val_00049016.JPEG
10457,10457_ILSVRC2012_val_00030049.JPEG
10993,10993_ILSVRC2012_val_00000690.JPEG
11362,11362_ILSVRC2012_val_00049315.JPEG
11449,11449_ILSVRC2012_val_00023552.JPEG
11913,11913_ILSVRC2012_val_00029696.JPEG
12252,12252_ILSVRC2012_val_00037678.JPEG
12576,12576_ILSVRC2012_val_00032643.JPEG
12989,12989_ILSVRC2012_val_00038801.JPEG
13386,13386_ILSVRC2012_val_00025291.JPEG
13843,13843_ILSVRC2012_val_00035837.JPEG
15332,15332_ILSVRC2012_val_00008857.JPEG
16456,16456_ILSVRC2012_val_00027901.JPEG
16981,16981_ILSVRC2012_val_00011357.JPEG
17293,17293_ILSVRC2012_val_00028890.JPEG
18735,18735_ILSVRC2012_val_00020578.JPEG
22993,22993_ILSVRC2012_val_00010426.JPEG
23757,23757_ILSVRC2012_val_00032180.JPEG
26240,26240_ILSVRC2012_val_00045575.JPEG
26981,26981_ILSVRC2012_val_00048606.JPEG
27070,27070_ILSVRC2012_val_00031666.JPEG
29370,29370_ILSVRC2012_val_00006959.JPEG
33293,33293_ILSVRC2012_val_00009637.JPEG
36548,36548_ILSVRC2012_val_00007369.JPEG
41883,41883_ILSVRC2012_val_00032580.JPEG
46364,46364_ILSVRC2012_val_00038356.JPEG
47464,47464_ILSVRC2012_val_00026760.JPEG
49907,49907_ILSVRC2012_val_00002901.JPEG
