rank,image_path
1620,1620_ILSVRC2012_val_00049968.JPEG
3715,3715_ILSVRC2012_val_00004220.JPEG
5495,5495_ILSVRC2012_val_00040681.JPEG
5810,5810_ILSVRC2012_val_00004890.JPEG
6495,6495_ILSVRC2012_val_00026602.JPEG
7357,7357_ILSVRC2012_val_00038045.JPEG
7903,7903_ILSVRC2012_val_00047759.JPEG
8605,8605_ILSVRC2012_val_00033924.JPEG
9909,9909_ILSVRC2012_val_00007660.JPEG
10725,10725_ILSVRC2012_val_00047307.JPEG
12118,12118_ILSVRC2012_val_00027010.JPEG
12282,12282_ILSVRC2012_val_00006204.JPEG
12681,12681_ILSVRC2012_val_00009116.JPEG
13564,13564_ILSVRC2012_val_00032115.JPEG
13845,13845_ILSVRC2012_val_00022546.JPEG
14316,14316_ILSVRC2012_val_00049337.JPEG
15026,15026_ILSVRC2012_val_00034564.JPEG
17444,17444_ILSVRC2012_val_00027984.JPEG
17489,17489_ILSVRC2012_val_00003883.JPEG
19177,19177_ILSVRC2012_val_00015765.JPEG
20088,20088_ILSVRC2012_val_00003515.JPEG
20336,20336_ILSVRC2012_val_00040311.JPEG
21742,21742_ILSVRC2012_val_00006963.JPEG
23034,23034_ILSVRC2012_val_00043156.JPEG
23412,23412_ILSVRC2012_val_00033735.JPEG
23780,23780_ILSVRC2012_val_00021402.JPEG
24095,24095_ILSVRC2012_val_00029316.JPEG
24151,24151_ILSVRC2012_val_00039917.JPEG
24642,24642_ILSVRC2012_val_00007603.JPEG
24726,24726_ILSVRC2012_val_00006390.JPEG
25618,25618_ILSVRC2012_val_00017031.JPEG
29392,29392_ILSVRC2012_val_00012244.JPEG
29451,29451_ILSVRC2012_val_00005990.JPEG
29603,29603_ILSVRC2012_val_00026020.JPEG
29706,29706_ILSVRC2012_val_00035442.JPEG
30153,30153_ILSVRC2012_val_00015846.JPEG
31065,31065_ILSVRC2012_val_00018850.JPEG
32411,32411_ILSVRC2012_val_00012719.JPEG
33926,33926_ILSVRC2012_val_00005659.JPEG
34480,34480_ILSVRC2012_val_00042537.JPEG
34482,34482_ILSVRC2012_val_00002155.JPEG
35090,35090_ILSVRC2012_val_00017484.JPEG
35402,35402_ILSVRC2012_val_00024127.JPEG
39243,39243_ILSVRC2012_val_00015105.JPEG
40638,40638_ILSVRC2012_val_00000854.JPEG
40686,40686_ILSVRC2012_val_00036677.JPEG
41606,41606_ILSVRC2012_val_00043314.JPEG
44660,44660_ILSVRC2012_val_00041682.JPEG
45478,45478_ILSVRC2012_val_00043846.JPEG
45758,45758_ILSVRC2012_val_00046684.JPEG
