rank,image_path
2254,2254_ILSVRC2012_val_00014460.JPEG
5543,5543_ILSVRC2012_val_00028643.JPEG
8510,8510_ILSVRC2012_val_00029933.JPEG
8540,8540_ILSVRC2012_val_00021111.JPEG
17484,17484_ILSVRC2012_val_00044911.JPEG
21624,21624_ILSVRC2012_val_00036760.JPEG
21893,21893_ILSVRC2012_val_00023042.JPEG
22046,22046_ILSVRC2012_val_00000587.JPEG
24513,24513_ILSVRC2012_val_00022343.JPEG
25786,25786_ILSVRC2012_val_00041315.JPEG
27163,27163_ILSVRC2012_val_00030793.JPEG
27548,27548_ILSVRC2012_val_00045960.JPEG
28313,28313_ILSVRC2012_val_00013731.JPEG
29279,29279_ILSVRC2012_val_00004767.JPEG
29870,29870_ILSVRC2012_val_00041532.JPEG
30297,30297_ILSVRC2012_val_00010365.JPEG
31217,31217_ILSVRC2012_val_00023491.JPEG
31693,31693_ILSVRC2012_val_00011244.JPEG
32221,32221_ILSVRC2012_val_00022751.JPEG
32673,32673_ILSVRC2012_val_00015581.JPEG
33230,33230_ILSVRC2012_val_00047741.JPEG
33335,33335_ILSVRC2012_val_00036111.JPEG
33859,33859_ILSVRC2012_val_00029185.JPEG
34518,34518_ILSVRC2012_val_00033802.JPEG
34941,34941_ILSVRC2012_val_00016279.JPEG
35100,35100_ILSVRC2012_val_00043493.JPEG
35505,35505_ILSVRC2012_val_00032011.JPEG
36165,36165_ILSVRC2012_val_00007485.JPEG
37375,37375_ILSVRC2012_val_00010998.JPEG
37768,37768_ILSVRC2012_val_00041948.JPEG
38108,38108_ILSVRC2012_val_00039790.JPEG
40045,40045_ILSVRC2012_val_00020510.JPEG
40784,40784_ILSVRC2012_val_00044156.JPEG
41021,41021_ILSVRC2012_val_00011450.JPEG
41039,41039_ILSVRC2012_val_00011220.JPEG
41394,41394_ILSVRC2012_val_00045588.JPEG
41847,41847_ILSVRC2012_val_00025610.JPEG
42538,42538_ILSVRC2012_val_00029620.JPEG
42841,42841_ILSVRC2012_val_00023987.JPEG
43170,43170_ILSVRC2012_val_00030272.JPEG
43668,43668_ILSVRC2012_val_00014230.JPEG
44004,44004_ILSVRC2012_val_00030682.JPEG
44682,44682_ILSVRC2012_val_00002189.JPEG
46719,46719_ILSVRC2012_val_00013882.JPEG
47146,47146_ILSVRC2012_val_00011378.JPEG
47526,47526_ILSVRC2012_val_00012574.JPEG
48017,48017_ILSVRC2012_val_00015131.JPEG
48194,48194_ILSVRC2012_val_00002760.JPEG
49399,49399_ILSVRC2012_val_00015963.JPEG
49542,49542_ILSVRC2012_val_00025427.JPEG
