rank,image_path
4288,4288_ILSVRC2012_val_00001195.JPEG
4699,4699_ILSVRC2012_val_00010099.JPEG
4997,4997_ILSVRC2012_val_00031048.JPEG
6777,6777_ILSVRC2012_val_00039505.JPEG
10073,10073_ILSVRC2012_val_00049364.JPEG
10878,10878_ILSVRC2012_val_00043157.JPEG
14485,14485_ILSVRC2012_val_00034470.JPEG
15251,15251_ILSVRC2012_val_00018479.JPEG
16035,16035_ILSVRC2012_val_00020399.JPEG
16145,16145_ILSVRC2012_val_00044804.JPEG
16701,16701_ILSVRC2012_val_00023303.JPEG
17274,17274_ILSVRC2012_val_00038926.JPEG
19831,19831_ILSVRC2012_val_00033834.JPEG
19922,19922_ILSVRC2012_val_00029636.JPEG
20098,20098_ILSVRC2012_val_00040570.JPEG
20255,20255_ILSVRC2012_val_00036220.JPEG
20340,20340_ILSVRC2012_val_00019175.JPEG
20829,20829_ILSVRC2012_val_00008441.JPEG
21948,21948_ILSVRC2012_val_00011082.JPEG
24135,24135_ILSVRC2012_val_00037925.JPEG
24963,24963_ILSVRC2012_val_00005900.JPEG
26001,26001_ILSVRC2012_val_00012471.JPEG
26399,26399_ILSVRC2012_val_00031713.JPEG
26819,26819_ILSVRC2012_val_00024187.JPEG
26821,26821_ILSVRC2012_val_00048955.JPEG
27173,27173_ILSVRC2012_val_00047109.JPEG
27702,27702_ILSVRC2012_val_00025983.JPEG
29863,29863_ILSVRC2012_val_00001001.JPEG
31086,31086_ILSVRC2012_val_00016508.JPEG
32235,32235_ILSVRC2012_val_00008463.JPEG
33240,33240_ILSVRC2012_val_00030776.JPEG
33479,33479_ILSVRC2012_val_00028758.JPEG
33522,33522_ILSVRC2012_val_00049089.JPEG
33858,33858_ILSVRC2012_val_00048639.JPEG
34042,34042_ILSVRC2012_val_00039386.JPEG
35254,35254_ILSVRC2012_val_00012515.JPEG
36467,36467_ILSVRC2012_val_00035680.JPEG
36568,36568_ILSVRC2012_val_00025330.JPEG
36804,36804_ILSVRC2012_val_00045280.JPEG
37278,37278_ILSVRC2012_val_00010722.JPEG
37983,37983_ILSVRC2012_val_00041718.JPEG
38256,38256_ILSVRC2012_val_00037191.JPEG
38960,38960_ILSVRC2012_val_00045861.JPEG
41354,41354_ILSVRC2012_val_00022363.JPEG
41988,41988_ILSVRC2012_val_00005331.JPEG
42086,42086_ILSVRC2012_val_00032581.JPEG
43652,43652_ILSVRC2012_val_00027245.JPEG
46106,46106_ILSVRC2012_val_00037153.JPEG
46546,46546_ILSVRC2012_val_00041762.JPEG
47836,47836_ILSVRC2012_val_00037195.JPEG
