rank,image_path
990,990_ILSVRC2012_val_00034678.JPEG
1243,1243_ILSVRC2012_val_00011174.JPEG
2552,2552_ILSVRC2012_val_00015677.JPEG
3494,3494_ILSVRC2012_val_00026143.JPEG
3618,3618_ILSVRC2012_val_00043217.JPEG
3797,3797_ILSVRC2012_val_00027236.JPEG
5040,5040_ILSVRC2012_val_00049329.JPEG
11022,11022_ILSVRC2012_val_00010250.JPEG
11397,11397_ILSVRC2012_val_00033623.JPEG
11637,11637_ILSVRC2012_val_00006623.JPEG
13407,13407_ILSVRC2012_val_00018908.JPEG
13995,13995_ILSVRC2012_val_00003177.JPEG
14668,14668_ILSVRC2012_val_00016101.JPEG
14974,14974_ILSVRC2012_val_00024849.JPEG
15960,15960_ILSVRC2012_val_00012751.JPEG
18060,18060_ILSVRC2012_val_00022100.JPEG
18444,18444_ILSVRC2012_val_00021878.JPEG
18503,18503_ILSVRC2012_val_00017348.JPEG
19079,19079_ILSVRC2012_val_00014699.JPEG
19238,19238_ILSVRC2012_val_00024728.JPEG
21546,21546_ILSVRC2012_val_00042739.JPEG
22017,22017_ILSVRC2012_val_00034432.JPEG
22797,22797_ILSVRC2012_val_00007917.JPEG
23776,23776_ILSVRC2012_val_00030937.JPEG
24057,24057_ILSVRC2012_val_00036475.JPEG
24616,24616_ILSVRC2012_val_00025517.JPEG
25004,25004_ILSVRC2012_val_00035406.JPEG
26174,26174_ILSVRC2012_val_00028154.JPEG
30782,30782_ILSVRC2012_val_00000437.JPEG
32487,32487_ILSVRC2012_val_00009762.JPEG
33303,33303_ILSVRC2012_val_00049765.JPEG
33444,33444_ILSVRC2012_val_00005645.JPEG
36416,36416_ILSVRC2012_val_00039007.JPEG
36891,36891_ILSVRC2012_val_00039676.JPEG
38066,38066_ILSVRC2012_val_00001427.JPEG
40051,40051_ILSVRC2012_val_00029542.JPEG
40092,40092_ILSVRC2012_val_00041066.JPEG
40104,40104_ILSVRC2012_val_00033877.JPEG
40546,40546_ILSVRC2012_val_00019440.JPEG
41069,41069_ILSVRC2012_val_00042823.JPEG
41255,41255_ILSVRC2012_val_00005517.JPEG
42069,42069_ILSVRC2012_val_00014924.JPEG
42392,42392_ILSVRC2012_val_00023248.JPEG
42981,42981_ILSVRC2012_val_00044982.JPEG
45097,45097_ILSVRC2012_val_00021154.JPEG
45796,45796_ILSVRC2012_val_00037279.JPEG
47497,47497_ILSVRC2012_val_00001890.JPEG
48037,48037_ILSVRC2012_val_00024026.JPEG
49735,49735_ILSVRC2012_val_00048323.JPEG
49887,49887_ILSVRC2012_val_00030368.JPEG
