rank,num_true,num_models,acc_percent,image_path
7405,395,1023,38.612,7405_acc38.6_30d3fa61dbe8464.png
3745,827,1023,80.841,3745_acc80.8_39dc791af4fc4fa.png
10902,105,1023,10.264,10902_acc10.3_9e192d08057541f.png
10453,127,1023,12.414,10453_acc12.4_8e74e217044a4c1.png
10362,132,1023,12.903,10362_acc12.9_32f3d74ce03c4bf.png
15320,4,1023,0.391,15320_acc0.4_b366d5f310ff45c.png
16359,1,1023,0.098,16359_acc0.1_18df90a0578149c.png
3971,804,1023,78.592,3971_acc78.6_64ea5863620741b.png
17503,0,1023,0.000,17503_acc0.0_d79e978c85554bc.png
11760,70,1023,6.843,11760_acc6.8_5e812424b590487.png
13639,22,1023,2.151,13639_acc2.2_c7a2bed952904fe.png
8574,271,1023,26.491,8574_acc26.5_3cdd8acedc0c469.png
4168,782,1023,76.442,4168_acc76.4_c45470224f1940c.png
4787,711,1023,69.501,4787_acc69.5_d18fa218b085429.png
8474,280,1023,27.370,8474_acc27.4_047f24ac36bf46d.png
8054,322,1023,31.476,8054_acc31.5_177eedf93856411.png
8555,273,1023,26.686,8555_acc26.7_1fa6b2e5549c418.png
14318,12,1023,1.173,14318_acc1.2_4fc7d5eade56443.png
7548,378,1023,36.950,7548_acc37.0_4f31e1cdc4ce4e3.png
4065,793,1023,77.517,4065_acc77.5_ccf7cf7f26a64d4.png
3340,866,1023,84.653,3340_acc84.7_a7f882401c87468.png
11627,74,1023,7.234,11627_acc7.2_a41cfa2267e3418.png
9130,220,1023,21.505,9130_acc21.5_1289d63328af429.png
4486,747,1023,73.021,4486_acc73.0_30e2f48ce33e418.png
11564,76,1023,7.429,11564_acc7.4_cfa65d2e4c9c440.png
10376,131,1023,12.805,10376_acc12.8_63fe8e8d91df4d3.png
10670,116,1023,11.339,10670_acc11.3_1c203b74987a4bc.png
9613,182,1023,17.791,9613_acc17.8_2846ab7e37b743a.png
2622,926,1023,90.518,2622_acc90.5_e9d7f8baf1b9487.png
11947,63,1023,6.158,11947_acc6.2_be07988b28cd4af.png
5167,664,1023,64.907,5167_acc64.9_040788d44e71404.png
12862,37,1023,3.617,12862_acc3.6_5328bbe1bb8846e.png
11145,94,1023,9.189,11145_acc9.2_a6014de6583a43b.png
6748,473,1023,46.237,6748_acc46.2_3a2ae677b583420.png
14017,16,1023,1.564,14017_acc1.6_9301a37035b34c2.png
14946,7,1023,0.684,14946_acc0.7_b978f3189ae44ed.png
6307,527,1023,51.515,6307_acc51.5_a23178e629b3447.png
5542,619,1023,60.508,5542_acc60.5_c639badb1c3e43d.png
5602,612,1023,59.824,5602_acc59.8_6330a010659b4f8.png
10192,143,1023,13.978,10192_acc14.0_2f1d26ecc5064b5.png
11943,63,1023,6.158,11943_acc6.2_6d8dc1704b0f4bb.png
9528,187,1023,18.280,9528_acc18.3_8d688841695b420.png
7280,409,1023,39.980,7280_acc40.0_ed3a1fc32fc44da.png
14276,13,1023,1.271,14276_acc1.3_c1de4d3b7def4f8.png
15985,2,1023,0.196,15985_acc0.2_cb0a3297b11f4a9.png
9070,224,1023,21.896,9070_acc21.9_c941639a98af41e.png
8722,257,1023,25.122,8722_acc25.1_649605859001491.png
7656,363,1023,35.484,7656_acc35.5_e6278d5d78894e7.png
10169,144,1023,14.076,10169_acc14.1_fac9413f88cb446.png
2915,903,1023,88.270,2915_acc88.3_eee90a8710804ee.png
2385,940,1023,91.887,2385_acc91.9_c913c0b034c74f2.png
6384,518,1023,50.635,6384_acc50.6_5fcb6fce4ac4439.png
