rank,num_true,num_models,acc_percent,image_path
8846,245,1023,23.949,8846_acc23.9_7c8a26219d7a462.png
323,1022,1023,99.902,323_acc99.9_bd571ac4d4d34ac.png
170,1023,1023,100.000,170_acc100.0_0b8a1bcb0d2e470.png
1641,982,1023,95.992,1641_acc96.0_41112e761729426.png
1192,1001,1023,97.849,1192_acc97.8_2d808b78d9f045f.png
2230,950,1023,92.864,2230_acc92.9_017761800bd4440.png
103,1023,1023,100.000,103_acc100.0_1d8f061d6a8f49e.png
67,1023,1023,100.000,67_acc100.0_a24dd260802c479.png
2005,963,1023,94.135,2005_acc94.1_efb14a46d04e4c7.png
1260,999,1023,97.654,1260_acc97.7_38a4a58e190043d.png
414,1020,1023,99.707,414_acc99.7_6f8f6a2c7cd9427.png
3246,876,1023,85.630,3246_acc85.6_7d472d78969640b.png
11375,84,1023,8.211,11375_acc8.2_6db256d62396473.png
4921,695,1023,67.937,4921_acc67.9_473d1845b4c14e3.png
562,1018,1023,99.511,562_acc99.5_b3762807beb5482.png
178,1023,1023,100.000,178_acc100.0_ea1922c74a154cf.png
717,1015,1023,99.218,717_acc99.2_27e166473b52401.png
655,1016,1023,99.316,655_acc99.3_8a57b142b5ec4c4.png
5765,590,1023,57.674,5765_acc57.7_a9d0c6745a71409.png
17979,0,1023,0.000,17979_acc0.0_1ecf7bbd08ac4b0.png
2939,902,1023,88.172,2939_acc88.2_fdcb6a9afc154c7.png
2070,960,1023,93.842,2070_acc93.8_caacbc434cbd46b.png
6477,505,1023,49.365,6477_acc49.4_3b4133b5e0014a7.png
4765,714,1023,69.795,4765_acc69.8_bf2d36e708144b9.png
948,1009,1023,98.631,948_acc98.6_f37e1d0facbe4f8.png
2266,948,1023,92.669,2266_acc92.7_794f95ff6b0d48c.png
2427,937,1023,91.593,2427_acc91.6_7955b148595a416.png
16761,0,1023,0.000,16761_acc0.0_226c95078e3044f.png
577,1018,1023,99.511,577_acc99.5_a33a676fd7ab466.png
276,1022,1023,99.902,276_acc99.9_bb7dbc0e68f845b.png
168,1023,1023,100.000,168_acc100.0_4208ec492ff34b6.png
11829,67,1023,6.549,11829_acc6.5_e263e842b58e436.png
14560,10,1023,0.978,14560_acc1.0_609d3152f15b48b.png
12205,55,1023,5.376,12205_acc5.4_c4aa0a037004480.png
15876,2,1023,0.196,15876_acc0.2_f966038b921c448.png
1807,974,1023,95.210,1807_acc95.2_83b26e9050244fd.png
4742,717,1023,70.088,4742_acc70.1_20341c095b58425.png
627,1017,1023,99.413,627_acc99.4_48c98800e95b4cb.png
15911,2,1023,0.196,15911_acc0.2_ed13ee12364f4e5.png
7,1023,1023,100.000,7_acc100.0_1cfa05763303418.png
254,1022,1023,99.902,254_acc99.9_9d19b4acb2034b9.png
814,1013,1023,99.022,814_acc99.0_58b52e54b75e4d5.png
354,1021,1023,99.804,354_acc99.8_0ae2802196ca4d2.png
7593,372,1023,36.364,7593_acc36.4_0807a87def504b0.png
1669,981,1023,95.894,1669_acc95.9_45eae7f2cb03490.png
14155,15,1023,1.466,14155_acc1.5_47132b23ae37437.png
5938,571,1023,55.816,5938_acc55.8_62efb9c8813b42e.png
219,1022,1023,99.902,219_acc99.9_41fc08b9e308472.png
1599,984,1023,96.188,1599_acc96.2_bf3caf64837e4f4.png
6214,539,1023,52.688,6214_acc52.7_d6d4cadccb9a4dd.png
3002,897,1023,87.683,3002_acc87.7_b1ad0d5aee1a422.png
5845,581,1023,56.794,5845_acc56.8_7468c619fca9419.png
5598,612,1023,59.824,5598_acc59.8_cc2dc1a549aa4b0.png
6966,445,1023,43.500,6966_acc43.5_15db60c2f98a4d6.png
10065,151,1023,14.761,10065_acc14.8_874139c7d1f842e.png
1522,988,1023,96.579,1522_acc96.6_2c329df40d38493.png
977,1008,1023,98.534,977_acc98.5_d67d49c25d89406.png
250,1022,1023,99.902,250_acc99.9_68206685d0e74d5.png
4701,722,1023,70.577,4701_acc70.6_4daf5efe28b7403.png
7330,403,1023,39.394,7330_acc39.4_5eefab9ccac8478.png
1099,1004,1023,98.143,1099_acc98.1_b70cf032498f45e.png
12822,38,1023,3.715,12822_acc3.7_d0f2190fd6304c2.png
11398,83,1023,8.113,11398_acc8.1_73ab2dad3e604c6.png
18178,0,1023,0.000,18178_acc0.0_19f05818d063429.png
14914,7,1023,0.684,14914_acc0.7_197e6e2d2f4e487.png
17814,0,1023,0.000,17814_acc0.0_2c4da2088325491.png
3307,869,1023,84.946,3307_acc84.9_cf654aa6dba2416.png
4506,745,1023,72.825,4506_acc72.8_579195c6d4f7450.png
6963,445,1023,43.500,6963_acc43.5_bfb474190a68415.png
16248,1,1023,0.098,16248_acc0.1_95f1b0865dff43f.png
687,1016,1023,99.316,687_acc99.3_8c8b612db5244d7.png
249,1022,1023,99.902,249_acc99.9_8239b28f711d4bf.png
299,1022,1023,99.902,299_acc99.9_278e88f19a254cd.png
360,1021,1023,99.804,360_acc99.8_ce10fbbe1cfb4a1.png
428,1020,1023,99.707,428_acc99.7_ea22b39e1a7b416.png
343,1021,1023,99.804,343_acc99.8_783fd722a73a40e.png
317,1022,1023,99.902,317_acc99.9_1ddfa40286c44a2.png
10037,152,1023,14.858,10037_acc14.9_a52c167d710f446.png
660,1016,1023,99.316,660_acc99.3_d8ac3c26ae884e2.png
3244,876,1023,85.630,3244_acc85.6_0d131cbe9e95461.png
1792,975,1023,95.308,1792_acc95.3_6e19dafcf9c946a.png
